sample_id,region,PF,R_ohm,L_H,fsw_Hz,StopTime_s,analysisWindow_s,Vout_rms_V,Vout_fund_rms_V,Vout_THD_fft_pct,THD_block_pct,THD_used_pct,Vout_error_pct,Vout_valid_2pct,Irms_A,IL_rms_A,IL_ripple_rms_A,IL_ripple_rms_pct_of_Irms,Pac_W,Pdc_W,Psw_4mos_W,Pcond_4mos_W,Pmos_total_4mos_W,R_L_filter_ohm,P_L_filter_W,eta_total_mosfet_pct,eta_with_filter_pct,Tj_final_C,Good_condition,Strict_condition
12,R5_R6_all_known_frequencies,0.6,5,0.0212206590789194,24000,0.25,0.2,218.30959239866,218.273135397496,0.215760100042073,0.323900049043173,0.323900049043173,0.784938455683537,1,25.3519291278855,24.6125157317518,1.26223023896589,4.97883310022949,3431.89992995507,3505.18348426453,26.1510472473764,44.3339779814068,70.4850252287832,0.012,7.26931116774875,97.9875134763682,97.7845585207069,25.6835258907486,1,1
13,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,2000,0.25,0.2,199.617375733092,198.284195152332,2.62231331627102,12.3969901444343,12.3969901444343,9.87082038530354,0,26.4273802570152,28.8841323077899,11.6309062287749,44.0108180064024,3802.25399547468,3935.16058851396,5.88795437199262,65.4605237742079,71.3484781462005,0.012,10.0115171900869,98.1580846606723,97.9050442312549,25.6878874145061,0,0
14,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,6000,0.25,0.2,216.157736167108,216.134643636902,0.573912801098688,1.6566340499441,1.6566340499441,1.7569801650444,1,29.2105564890569,29.0283906607156,3.32545983154498,11.3844453213029,4575.41817475248,4683.77991580617,12.5749704291047,65.0443679281465,77.6193383572512,0.012,10.1117695722134,98.3318565960717,98.1186296510969,25.7353294493524,1,0
15,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,10000,0.25,0.2,216.893475391334,216.892601990753,0.449930634985148,1.07453553268867,1.07453553268867,1.41245364056696,1,29.3277761982889,29.0598086020797,2.66858487955299,9.09917227105916,4610.17072332981,4714.43624401993,16.2467443758358,63.5194124380664,79.7661568139023,0.012,10.1336697118741,98.2992061758525,98.0872664447869,25.7614972605061,1,0
16,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,12000,0.25,0.2,217.387344462527,217.445033348522,0.277219865573632,0.887248138048989,0.887248138048989,1.16134847794458,1,29.3839213775823,29.1382780520253,2.79974008640658,9.52813632472679,4629.51392116778,4736.70998379595,16.8716924032939,65.3560807174523,82.2277731207462,0.012,10.1884709740457,98.2548327464466,98.0428290792045,25.7792577202394,1,1
17,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,14000,0.25,0.2,217.675797466729,217.678766345443,0.224014030693163,0.685326738846274,0.685326738846274,1.05510620661691,1,29.4312323106031,29.1254032866082,2.19764829777767,7.46706177500401,4643.3572723361,4746.42306099918,18.3025315100024,64.597095164265,82.8996266742674,0.012,10.1794693992908,98.2459771348522,98.0348285328108,25.7875435710122,1,1
18,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,16000,0.25,0.2,218.01581082319,218.004151754362,0.126276864577136,0.515995108409017,0.515995108409017,0.90720374801726,1,29.4470333170727,29.1355453489948,1.6599788867936,5.63716850155899,4657.47808964289,4757.40748367403,20.8445568773597,65.0789693408257,85.9235262181853,0.012,10.1865600334,98.1885673367637,97.9781570742926,25.8166950010545,1,1
19,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,17000,0.25,0.2,217.550173932469,217.517558895052,0.224681771769032,0.825227118644722,0.825227118644722,1.12838232043082,1,29.3591402614758,29.1258151807764,2.42276884291514,8.25217912151955,4628.90620178122,4732.38953148685,22.7398746160302,64.57669589002,87.3165705060502,0.012,10.1797573193369,98.1485910500427,97.9371979594488,25.8306110492903,1,1
20,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,18000,0.25,0.2,216.256957143204,216.611500608219,0.408838425870701,1.9049175015573,1.9049175015573,1.54022699626398,1,29.2331101712527,29.0210491297173,3.1611219881672,10.8134986994158,4580.70633617871,4687.20081431599,23.7713772992521,63.7766727962478,87.5480500954999,0.012,10.1066555110736,98.1246084113815,97.9126299844249,25.8310033944716,1,0
21,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,19000,0.25,0.2,216.913269741935,217.076759620284,0.391330704096849,0.842807431055128,0.842807431055128,1.32874562714346,1,29.2984900104629,29.0630031861595,2.6982496334257,9.20951773440242,4610.22318712317,4714.3043544985,24.2964194763024,64.2209997672835,88.5174192435859,0.012,10.1358978503846,98.1161458641993,97.9049500022857,25.8423151138991,1,1
22,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,20000,0.25,0.2,216.431947518251,216.20007724209,0.402008639370133,1.74254778177621,1.74254778177621,1.72723761723183,1,29.186531077237,29.0093038640796,2.81522217098263,9.64562100077134,4582.24519984259,4686.22908034716,26.29470447392,63.7649134558133,90.0596179297333,0.012,10.098476528142,98.0724798265051,97.8609682216013,25.8545038818827,1,0
23,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,22000,0.25,0.2,218.079551575545,218.050757036568,0.132650760955014,0.241461741798456,0.241461741798456,0.886019528832934,1,29.4798280087744,29.1343114940819,1.48675466067459,5.04329489382392,4660.83281871168,4758.98769188958,28.0968735059842,64.2732509409411,92.3701244469252,0.012,10.1856972748103,98.0566761917903,97.8469986502633,25.8787649882036,1,1
24,R5_R6_all_known_frequencies,0.7,5,0.0162370519305654,24000,0.25,0.2,218.162586331044,218.142544576217,0.0986768083755401,0.576840483851614,0.576840483851614,0.84429791990149,1,29.504800698303,29.1296103799965,1.12857574763622,3.82505802759456,4664.602811109,4760.30937916449,30.6058473734906,64.0868827179536,94.6927300914442,0.012,10.1824104106848,98.0103624733597,97.8011190833433,25.8988456816236,1,1
25,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,2000,0.25,0.2,203.901412111877,203.265768048532,2.89993111167702,11.5315391275888,11.5315391275888,7.60646906884893,0,30.6359177659155,33.1463002773961,10.9680479309397,35.8012709615718,5252.74897997018,5405.85419526326,7.92942617352474,87.5125260567334,95.4419522302582,0.012,13.1841266649517,98.2154348369349,97.9739138242979,25.9000102718043,0,0
26,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,6000,0.25,0.2,215.639098915272,215.634993419735,0.5022901464634,1.66658179035895,1.66658179035895,1.98409390012048,1,33.2789220852464,33.4939286086218,3.44849814649876,10.3624093883365,5951.05725520423,6087.18260972883,14.9633628130233,88.2093332935776,103.172696106601,0.012,13.4621190436734,98.2958576575992,98.0777730016965,25.9627336593882,1,0
27,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,10000,0.25,0.2,216.405192767616,216.358961237254,0.50795027921985,1.21511303834699,1.21511303834699,1.6550176194298,1,33.3920715631282,33.5476478474536,2.73370413126022,8.18668625003427,5995.03054434296,6126.39067632693,18.581952380455,88.25055266775,106.832505048205,0.012,13.5053361131611,98.2491821893829,98.0322061799807,25.9995919509547,1,0
28,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,12000,0.25,0.2,217.067230380502,217.089638039265,0.276013903148407,0.863437251742312,0.863437251742312,1.32289180033395,1,33.4919502385076,33.6514941398857,2.73940045115447,8.17928019015397,6029.67205641885,6163.92604761343,19.3068972566883,89.0748338138733,108.381731070562,0.012,13.5890766941611,98.2342655372055,98.0172644859657,26.0130715572122,1,1
29,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,14000,0.25,0.2,217.274428761457,217.264877369122,0.24784299054077,0.715222037394206,0.715222037394206,1.24323755949017,1,33.5333555733799,33.6450056766935,2.20956948843317,6.58916905466871,6042.12419582377,6172.87136808818,20.9691078944464,88.9014942185979,109.870602113044,0.012,13.5838368838169,98.2140654255772,97.9976828403478,26.0255772678731,1,1
30,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,16000,0.25,0.2,217.640717914295,217.633635404474,0.125324090348767,0.567427708916816,0.567427708916816,1.07562027069345,1,33.58711357303,33.670847771425,1.67360534215921,4.98287933710116,6063.05786732723,6190.22578129298,24.1543102759214,88.7951672624281,112.94947753835,0.012,13.6047118757577,98.171157007573,97.9553776835453,26.0587425221451,1,1
31,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,17000,0.25,0.2,216.924449037339,216.826784309929,0.378004231647455,1.12480436890335,1.12480436890335,1.4423707682143,1,33.4458360781272,33.5930212867268,2.27449151695926,6.80052222837606,6016.36824489408,6144.73938267128,25.8766679068034,88.237979126168,114.114647032971,0.012,13.5418929500457,98.1385700108022,97.9222652177896,26.0696829441829,1,0
32,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,18000,0.25,0.2,216.005580375693,216.040225209056,0.321497082963259,1.71263541744696,1.71263541744696,1.79989763224712,1,33.3641315210331,33.510968411984,3.05896446333294,9.16842226630278,5974.86342050799,6107.05072041759,27.2308627773248,87.968308391241,115.199171168566,0.012,13.4758200469078,98.1084074353191,97.8917968146425,26.0793506285784,1,0
33,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,19000,0.25,0.2,215.88515297324,215.96369293889,0.436145015762151,0.909502267245295,0.909502267245295,1.83468502777741,1,33.2409117307996,33.495781340068,3.0916782023929,9.30082251482977,5957.45492828384,6090.9487773224,27.8949154890313,87.8000180827664,115.694933571798,0.012,13.4636084109798,98.0949764750833,97.8779900742224,26.0857137780754,1,1
34,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,20000,0.25,0.2,216.172582013615,216.112646312091,0.450781500324482,1.59084381424602,1.59084381424602,1.76697894904937,1,33.3438669808886,33.5036712662831,2.67112978117422,8.01085783693058,5979.06556228656,6108.94557647343,30.0650973379543,87.6829609830781,117.748058321032,0.012,13.4699518598299,98.0686951307969,97.8525053931683,26.0998141117966,1,0
35,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,22000,0.25,0.2,217.104998208988,217.026505868954,0.252757027856279,1.00010056891136,1.00010056891136,1.35158824138463,1,33.5545558757406,33.6047099365914,2.01210806115489,5.99652717385424,6036.21021334513,6163.03190250244,31.5901589001563,88.3023714187528,119.892530318909,0.012,13.5513183590693,98.0524605369476,97.8370935009244,26.1251559854094,1,0
36,R5_R6_all_known_frequencies,0.8,5,0.0119366207318921,24000,0.25,0.2,217.781516090601,217.775555437821,0.121233081325692,0.642027401085611,0.642027401085611,1.0111111646266,1,33.6176473699528,33.6649687656891,0.968314523039849,2.88037563242846,6069.55334596052,6192.45309556699,35.1025922240597,88.5925220802528,123.695114304312,0.012,13.5999614639379,98.0027425817335,97.7880066268799,26.1582479210408,1,1
37,R5_R6_all_known_frequencies,0.9,5,0.0077082257033615,2000,0.25,0.2,198.487604194592,197.069853733631,4.7665451693649,23.0544552936737,23.0544552936737,10.4227937574406,0,34.3866175673221,37.2045015733857,14.2407617791699,41.4136742332663,6205.49219897534,6395.78303236508,7.8957740998302,113.464791128612,121.360565228442,0.012,16.6100992478887,98.0818177733631,97.8249945267078,26.1300431432673,0,0
38,R5_R6_all_known_frequencies,0.9,5,0.0077082257033615,6000,0.25,0.2,215.494966796401,215.40960606395,0.516469356164614,1.72650439227367,1.72650439227367,2.08654269820457,0,37.3811646423689,38.1061543991974,3.547476053033,9.49000943917136,7517.39892446995,7685.72688143318,14.867713132635,116.121307281662,130.989020414297,0.012,17.4249480371456,98.2873643262053,98.0639500268982,26.2134953968177,0,0
39,R5_R6_all_known_frequencies,0.9,5,0.0077082257033615,10000,0.25,0.2,216.179927950676,216.177722683992,0.4435714459128,1.128270107495,1.128270107495,1.73739878000346,1,37.506386020923,38.158079160321,2.67437545732771,7.13045361351479,7568.50957560293,7732.46817655366,20.093401659581,116.247985116694,136.341386776275,0.012,17.4724680624639,98.2304474487307,98.0081920133985,26.2625669020378,1,0
